Repositório,Linguagem,KB,GB,Num Arquivos,Dados?,Entrada,Saída,Mais de um projeto,Anotações
mcarujo/pneumonia-detector,Jupyter Notebook,1.652.521,"1,65",11798,Sim,Sim,Não,Não,"Diversas imagens jpeg  de pacientes com e sem pneumonia medindo 1,3 GB"
shashiniyer/Once-a-DS-N00b,Jupyter Notebook,1.716.488,"1,72",22911,Sim,Sim,Sim,Não,Multiplos dados de mineração de dados
hirurana/COMP0031,Jupyter Notebook,1.092.935,"1,09",103,Sim,Sim,Não,Não,Dados do airbnb em csv de diversos países
Ely6899/Data_science_project,Jupyter Notebook,2.151.018,"2,15",75684,Sim,Não,Sim,Não,Dados de treinapento em .jpg
Kim-Ro/CDS-FinalProject,HTML,2.670.414,"2,67",1081,Sim,Sim,Não,Não,Diversos dados de digitialização
Bhik95/DataScience-FinalProject,Jupyter Notebook,1.119.169,"1,12",57,Sim,Não,Sim,Não,Dados de modelos de treinamento
RicardoSantos0/timely_accurate_portable,Jupyter Notebook,2.889.779,"2,89",578,Sim,Sim,Sim,Não,Imagens em png de modelos 
Seonghyeony/DataScience,Python,1.482.191,"1,48",19026,Sim,Sim,Não,No,Imagens em png de pets
loedata/FORMATION_DATA_SCIENCE_STATQUEST,HTML,1.193.914,"1,19",273,Não,Não,Não,Não,"Tutoriais em docx, não se tratam de dados utilizados em analises"
EzhilSaha/CE888,HTML,6.887.880,"6,89",48000,Sim,Sim,Não,Não,Dados de detecção de fogo
davemlz/Master_of_DataScience,HTML,1.632.037,"1,63",1243,Sim,Sim,Sim,Sim,"Diversos projetos no respositório, os arquivos que pesam mais são .csv, utilizados como entrada ou como resultado de testes"
asaiyed10/LSTM_Tumours,Python,1.013.198,"1,01",3618,Sim,Sim,Não,Não,"Diversas imagens no formato .dcm de ressonancia magnética, cada uma medindo 0,5 MB"
PankajB1997/Big_Data_Systems,XSLT,2.177.345,"2,18",2147,Sim,Sim,Sim,Não,Arquivos do tipo .snappy.parquet
guryaniv/GDS,Jupyter Notebook,1.673.064,"1,67",20671,Sim,Não,Sim,Não,O tamanho se deve a modelos treinados resultantes
dapankratov/data_science_portfolio,Jupyter Notebook,1.087.678,"1,09",1487,Sim,Sim,Sim,Sim,Multiplos projetos de diversas áreas
lunar-master,Python,1.096.947,"1,10",274,Sim,Sim,Não,Não,Imagens da lua nos formatos png/tiff
fabio-a-oliveira/movie-recommendations,R,1.062.470,"1,06",207,Sim,Não,Sim,Não,Resultados de treinamento de predições de recomendação de filme
